team,first_name,last_name,number,position,country,born_on,photo
Arka Gdynia,Edu,Espiau,99,striker,ESP,1994-12-19,photos/arka-gdynia/edu_espiau.png
Arka Gdynia,Damian,Węglarz,77,goalkeeper,POL,1996-03-21,photos/arka-gdynia/damian_węglarz.png
Arka Gdynia,Jędrzej,Grobelny,1,goalkeeper,POL,2001-06-28,photos/arka-gdynia/jędrzej_grobelny.png
Arka Gdynia,Kamil,Jakubczyk,35,midfielder,POL,2004-08-10,photos/arka-gdynia/kamil_jakubczyk.png
Arka Gdynia,Tornike,Gaprindaszwili,9,midfielder,GEO,1997-07-20,photos/arka-gdynia/tornike_gaprindaszwili.png
Arka Gdynia,Sebastian,Kerk,37,midfielder,DEU,1994-04-17,photos/arka-gdynia/sebastian_kerk.png
Arka Gdynia,Aurelien,Nguiamba,10,midfielder,FRA,1999-01-18,photos/arka-gdynia/aurelien_nguiamba.png
Arka Gdynia,Hide,Vitalucci,14,striker,ITA,2001-03-05,photos/arka-gdynia/hide_vitalucci.png
Arka Gdynia,Patryk,Szysz,21,midfielder,POL,1998-04-01,photos/arka-gdynia/patryk_szysz.png
Arka Gdynia,Adam,Ratajczyk,16,midfielder,POL,2002-06-12,photos/arka-gdynia/adam_ratajczyk.png
Arka Gdynia,Nazarij,Rusyn,31,striker,UKR,1998-10-25,photos/arka-gdynia/nazarij_rusyn.png
Arka Gdynia,Kacper,Krzepisz,30,goalkeeper,POL,1999-12-16,photos/arka-gdynia/kacper_krzepisz.png
Piast Gliwice,Frantisek,Plach,26,goalkeeper,SVK,1992-03-08,photos/piast-gliwice/frantisek_plach.png
Piast Gliwice,Karol,Szymański,33,goalkeeper,POL,1993-06-25,photos/piast-gliwice/karol_szymański.png
Piast Gliwice,Dawid,Rychta,79,goalkeeper,POL,2006-03-04,photos/piast-gliwice/dawid_rychta.png
Piast Gliwice,Igor,Drapiński,29,defender,POL,2004-05-31,photos/piast-gliwice/igor_drapiński.png
Piast Gliwice,Jakub,Lewicki,36,defender,POL,2005-09-17,photos/piast-gliwice/jakub_lewicki.png
Piast Gliwice,Erik,Jirka,77,midfielder,SVK,1997-09-19,photos/piast-gliwice/erik_jirka.png
Piast Gliwice,Grzegorz,Tomasiewicz,20,midfielder,POL,1996-05-05,photos/piast-gliwice/grzegorz_tomasiewicz.png
Piast Gliwice,Patryk,Dziczek,10,midfielder,POL,1998-03-25,photos/piast-gliwice/patryk_dziczek.png
Piast Gliwice,Mateusz,Kopczyński,16,striker,POL,2007-12-17,photos/piast-gliwice/mateusz_kopczyński.png
Piast Gliwice,Justin,Daniel,27,midfielder,POL,2005-02-14,photos/piast-gliwice/justin_daniel.png
Piast Gliwice,Michał,Chrapek,6,midfielder,POL,1992-04-03,photos/piast-gliwice/michał_chrapek.png
Piast Gliwice,Jorge,Felix,7,midfielder,ESP,1991-08-22,photos/piast-gliwice/jorge_felix.png
Piast Gliwice,Szczepan,Mucha,23,midfielder,POL,2004-02-29,photos/piast-gliwice/szczepan_mucha.png
Piast Gliwice,Oskar,Leśniak,31,midfielder,POL,2004-10-07,photos/piast-gliwice/oskar_leśniak.png
Piast Gliwice,Filip,Borowski,28,defender,POL,2003-10-06,photos/piast-gliwice/filip_borowski.png
Piast Gliwice,Emmanuel,Twumasi,55,defender,USA,1997-05-18,photos/piast-gliwice/emmanuel_twumasi.png
Piast Gliwice,Adrian,Dalmau,9,striker,ESP,1994-03-23,photos/piast-gliwice/adrian_dalmau.png
Piast Gliwice,Gierman,Barkowskij,63,striker,BLR,2002-06-25,photos/piast-gliwice/gierman_barkowskij.png
Piast Gliwice,Leandro,Sanca,11,midfielder,PRT,2000-01-04,photos/piast-gliwice/leandro_sanca.png
Piast Gliwice,Juande,Rivas,5,defender,ESP,1999-07-07,photos/piast-gliwice/juande_rivas.png
Piast Gliwice,Quentin,Boisgard,17,midfielder,FRA,1997-03-17,photos/piast-gliwice/quentin_boisgard.png
Piast Gliwice,Jakub,Czerwiński,4,defender,POL,1991-08-06,photos/piast-gliwice/jakub_czerwiński.png
Piast Gliwice,Levis,Pitan,15,defender,POL,2005-05-25,photos/piast-gliwice/levis_pitan.png
Piast Gliwice,Kamil,Lubowiecki,19,midfielder,POL,2007-07-27,photos/piast-gliwice/kamil_lubowiecki.png
Piast Gliwice,Hugo,Vallejo,80,midfielder,ESP,2000-02-15,photos/piast-gliwice/hugo_vallejo.png
Piast Gliwice,Jason,Lokilo,98,midfielder,BEL,1998-09-17,photos/piast-gliwice/jason_lokilo.png
Piast Gliwice,Tomasz,Mokwa,22,defender,POL,1993-02-10,photos/piast-gliwice/tomasz_mokwa.png
Gks Katowice,Jakub,Łukowski,14,midfielder,POL,1996-05-25,photos/gks-katowice/jakub_łukowski.png
Gks Katowice,Maciej,Rosołek,7,striker,POL,2001-09-02,photos/gks-katowice/maciej_rosołek.png
Gks Katowice,Rafał,Strączek,12,goalkeeper,POL,1999-02-12,photos/gks-katowice/rafał_strączek.png
Gks Katowice,Arkadiusz,Jędrych,4,defender,POL,1992-05-27,photos/gks-katowice/arkadiusz_jędrych.png
Gks Katowice,Bartosz,Jaroszek,13,defender,POL,1994-02-17,photos/gks-katowice/bartosz_jaroszek.png
Gks Katowice,Marcin,Wasielewski,23,defender,POL,1994-08-23,photos/gks-katowice/marcin_wasielewski.png
Gks Katowice,Grzegorz,Rogala,16,defender,POL,1995-10-12,photos/gks-katowice/grzegorz_rogala.png
Gks Katowice,Alan,Czerwiński,30,defender,POL,1993-02-02,photos/gks-katowice/alan_czerwiński.png
Gks Katowice,Lukas,Klemenz,6,defender,POL,1995-09-24,photos/gks-katowice/lukas_klemenz.png
Gks Katowice,Łukasz,Trepka,25,defender,POL,2006-12-26,photos/gks-katowice/łukasz_trepka.png
Gks Katowice,Konrad,Gruszkowski,24,defender,POL,2001-01-27,photos/gks-katowice/konrad_gruszkowski.png
Gks Katowice,Adrian,Błąd,11,midfielder,POL,1991-04-16,photos/gks-katowice/adrian_błąd.png
Gks Katowice,Bartosz,Nowak,27,midfielder,POL,1993-08-25,photos/gks-katowice/bartosz_nowak.png
Gks Katowice,Mateusz,Kowalczyk,77,midfielder,POL,2004-04-16,photos/gks-katowice/mateusz_kowalczyk.png
Gks Katowice,Kacper,Łukasiak,19,midfielder,POL,2003-09-24,photos/gks-katowice/kacper_łukasiak.png
Gks Katowice,Adam,Zrelak,99,striker,SVK,1994-05-05,photos/gks-katowice/adam_zrelak.png
Gks Katowice,Dawid,Kudła,1,goalkeeper,POL,1992-03-21,photos/gks-katowice/dawid_kudła.png
Gks Katowice,Marten,Kuusk,2,defender,EST,1996-04-05,photos/gks-katowice/marten_kuusk.png
Gks Katowice,Borja,Galan,8,midfielder,ESP,1993-04-26,photos/gks-katowice/borja_galan.png
Gks Katowice,Aleksander,Buksa,21,striker,POL,2003-01-15,photos/gks-katowice/aleksander_buksa.png
Gks Katowice,Marcel,Wędrychowski,10,midfielder,POL,2002-01-13,photos/gks-katowice/marcel_wędrychowski.png
Gks Katowice,Aleksander,Paluszek,3,defender,POL,2001-04-09,photos/gks-katowice/aleksander_paluszek.png
Gks Katowice,Sebastian,Milewski,22,midfielder,POL,1998-04-30,photos/gks-katowice/sebastian_milewski.png
Gks Katowice,Alan,Bród,28,midfielder,POL,2004-08-09,photos/gks-katowice/alan_bród.png
Gks Katowice,Filip,Rejczyk,20,midfielder,POL,2006-04-20,photos/gks-katowice/filip_rejczyk.png
Gks Katowice,Miłosz,Swatowski,18,midfielder,POL,2007-09-13,photos/gks-katowice/miłosz_swatowski.png
Gks Katowice,Jesse,Bosch,5,midfielder,NLD,2000-02-01,photos/gks-katowice/jesse_bosch.png
Gks Katowice,Eman,Marković,15,midfielder,NOR,1999-05-08,photos/gks-katowice/eman_marković.png
Gks Katowice,Ilja,Szkurin,80,striker,BLR,1999-08-17,photos/gks-katowice/ilja_szkurin.png
Gks Katowice,Patryk,Szczuka,33,goalkeeper,POL,2002-01-31,photos/gks-katowice/patryk_szczuka.png
Gks Katowice,Jakub,Kokosiński,21,striker,POL,2007-06-12,photos/gks-katowice/jakub_kokosiński.png
Radomiak Radom,Filip,Majchrowicz,1,goalkeeper,POL,2000-02-09,photos/radomiak-radom/filip_majchrowicz.png
Radomiak Radom,Jeremy,Blasco,5,defender,FRA,1999-02-12,photos/radomiak-radom/jeremy_blasco.png
Radomiak Radom,Krystian,Harciński,12,goalkeeper,POL,2007-03-19,photos/radomiak-radom/krystian_harciński.png
Radomiak Radom,Mikołaj,Molendowski,37,midfielder,POL,2007-02-19,photos/radomiak-radom/mikołaj_molendowski.png
Radomiak Radom,Wiktor,Koptas,44,goalkeeper,POL,2004-10-20,photos/radomiak-radom/wiktor_koptas.png
Radomiak Radom,Abdoul,Tapsoba,15,striker,BFA,2001-08-23,photos/radomiak-radom/abdoul_tapsoba.png
Radomiak Radom,Mateusz,Cichocki,16,defender,POL,1992-01-31,photos/radomiak-radom/mateusz_cichocki.png
Radomiak Radom,Jan,Grzesik,13,defender,POL,1994-10-21,photos/radomiak-radom/jan_grzesik.png
Radomiak Radom,Steve,Kingue,74,defender,CMR,2000-01-23,photos/radomiak-radom/steve_kingue.png
Radomiak Radom,Zie,Ouattara,24,defender,CIV,2000-09-01,photos/radomiak-radom/zie_ouattara.png
Radomiak Radom,Rafał,Wolski,27,midfielder,POL,1992-11-10,photos/radomiak-radom/rafał_wolski.png
Radomiak Radom,Roberto,Alves,10,midfielder,PRT,1997-06-18,photos/radomiak-radom/roberto_alves.png
Radomiak Radom,Michał,Kaput,28,midfielder,POL,1998-02-18,photos/radomiak-radom/michał_kaput.png
Radomiak Radom,Osvaldo Pedro,Capemba,11,midfielder,AGO,2002-01-10,photos/radomiak-radom/osvaldo_pedro_capemba.png
Radomiak Radom,Paulius,Golubickas,8,midfielder,LTU,1999-08-19,photos/radomiak-radom/paulius_golubickas.png
Radomiak Radom,Guilherme,Zimovski,99,midfielder,POL,2004-12-03,photos/radomiak-radom/guilherme_zimovski.png
Radomiak Radom,Leandro,Rossi,9,midfielder,POL,1988-11-26,photos/radomiak-radom/leandro_rossi.png
Radomiak Radom,Christos,Donis,77,midfielder,GRC,1994-10-09,photos/radomiak-radom/christos_donis.png
Radomiak Radom,Bruno André,Cavaco Jordão,6,midfielder,PRT,1998-10-12,photos/radomiak-radom/bruno_andré_cavaco_jordão.png
Radomiak Radom,Vasco,Lopes,7,midfielder,CPV,1999-09-02,photos/radomiak-radom/vasco_lopes.png
Radomiak Radom,Joao,Pedro,20,defender,BRA,2003-03-14,photos/radomiak-radom/joao_pedro.png
Radomiak Radom,Ibrahima,Camara,2,midfielder,GIN,1999-01-25,photos/radomiak-radom/ibrahima_camara.png
Radomiak Radom,Michał,Jerke,75,goalkeeper,POL,2006-01-13,photos/radomiak-radom/michał_jerke.png
Radomiak Radom,Alex,Niziołek,17,striker,POL,2006-06-28,photos/radomiak-radom/alex_niziołek.png
Radomiak Radom,Laurindo Dilson,Maria Aurelio,29,striker,AGO,2000-01-08,photos/radomiak-radom/laurindo_dilson_maria_aurelio.png
Radomiak Radom,Maurides,Roque Junior,25,striker,BRA,1994-03-10,photos/radomiak-radom/maurides_roque_junior.png
Radomiak Radom,Elves,Balde,21,striker,GNB,1999-10-02,photos/radomiak-radom/elves_balde.png
Radomiak Radom,Adrian,Dieguez,26,defender,ESP,1996-02-04,photos/radomiak-radom/adrian_dieguez.png
Radomiak Radom,Romario,Baro,6,midfielder,PRT,2000-01-25,photos/radomiak-radom/romario_baro.png
Radomiak Radom,Joshua,Wilson-Esbrand,3,defender,GBR,2002-12-26,photos/radomiak-radom/joshua_wilson-esbrand.png
Bruk Bet Termalica Nieciecza,Igor,Strzałek,86,midfielder,POL,2004-01-19,photos/bruk-bet-termalica-nieciecza/igor_strzałek.png
Bruk Bet Termalica Nieciecza,Lucas,Masoero,5,defender,ITA,1995-02-01,photos/bruk-bet-termalica-nieciecza/lucas_masoero.png
Bruk Bet Termalica Nieciecza,Thiago,Dombroski,55,defender,POL,2002-06-20,photos/bruk-bet-termalica-nieciecza/thiago_dombroski.png
Bruk Bet Termalica Nieciecza,Noah,Mrosek,22,defender,POL,2004-06-18,photos/bruk-bet-termalica-nieciecza/noah_mrosek.png
Bruk Bet Termalica Nieciecza,Kamil,Zapolnik,25,striker,POL,1992-09-09,photos/bruk-bet-termalica-nieciecza/kamil_zapolnik.png
Bruk Bet Termalica Nieciecza,Radu,Boboc,27,defender,ROU,1999-04-24,photos/bruk-bet-termalica-nieciecza/radu_boboc.png
Bruk Bet Termalica Nieciecza,Adrian,Chovan,1,goalkeeper,SVK,1995-10-08,photos/bruk-bet-termalica-nieciecza/adrian_chovan.png
Bruk Bet Termalica Nieciecza,Eric,Topór,70,goalkeeper,POL,2005-02-12,photos/bruk-bet-termalica-nieciecza/eric_topór.png
Bruk Bet Termalica Nieciecza,Artem,Putiwcew,77,defender,UKR,1988-08-29,photos/bruk-bet-termalica-nieciecza/artem_putiwcew.png
Bruk Bet Termalica Nieciecza,Damian,Hilbrycht,21,defender,POL,1998-05-19,photos/bruk-bet-termalica-nieciecza/damian_hilbrycht.png
Bruk Bet Termalica Nieciecza,Arkadiusz,Kasperkiewicz,3,defender,POL,1994-09-29,photos/bruk-bet-termalica-nieciecza/arkadiusz_kasperkiewicz.png
Bruk Bet Termalica Nieciecza,Maciej,Wolski,6,defender,POL,1997-03-29,photos/bruk-bet-termalica-nieciecza/maciej_wolski.png
Bruk Bet Termalica Nieciecza,Gabriel,Isik,29,defender,DEU,1999-06-06,photos/bruk-bet-termalica-nieciecza/gabriel_isik.png
Bruk Bet Termalica Nieciecza,Bartosz,Kopacz,2,defender,POL,1992-05-21,photos/bruk-bet-termalica-nieciecza/bartosz_kopacz.png
Bruk Bet Termalica Nieciecza,Morgan,Fassbender,7,midfielder,DEU,1998-10-18,photos/bruk-bet-termalica-nieciecza/morgan_fassbender.png
Bruk Bet Termalica Nieciecza,Krzysztof,Kubica,13,midfielder,POL,2000-05-25,photos/bruk-bet-termalica-nieciecza/krzysztof_kubica.png
Bruk Bet Termalica Nieciecza,Andrzej,Trubeha,53,striker,POL,1997-11-22,photos/bruk-bet-termalica-nieciecza/andrzej_trubeha.png
Bruk Bet Termalica Nieciecza,Wojciech,Jakubik,26,midfielder,POL,2005-01-23,photos/bruk-bet-termalica-nieciecza/wojciech_jakubik.png
Bruk Bet Termalica Nieciecza,Diego,Deisadze,35,midfielder,POL,2004-10-15,photos/bruk-bet-termalica-nieciecza/diego_deisadze.png
Bruk Bet Termalica Nieciecza,Rafał,Kurzawa,8,midfielder,POL,1993-01-29,photos/bruk-bet-termalica-nieciecza/rafał_kurzawa.png
Bruk Bet Termalica Nieciecza,Maciej,Ambrosiewicz,28,midfielder,POL,1998-05-24,photos/bruk-bet-termalica-nieciecza/maciej_ambrosiewicz.png
Bruk Bet Termalica Nieciecza,Miłosz,Mleczko,99,goalkeeper,POL,1999-03-01,photos/bruk-bet-termalica-nieciecza/miłosz_mleczko.png
Bruk Bet Termalica Nieciecza,Dominik,Biniek,17,striker,POL,2004-09-05,photos/bruk-bet-termalica-nieciecza/dominik_biniek.png
Bruk Bet Termalica Nieciecza,Jesus,Jimenez,9,striker,ESP,1993-11-05,photos/bruk-bet-termalica-nieciecza/jesus_jimenez.png
Bruk Bet Termalica Nieciecza,Miłosz,Kozik,16,defender,POL,2004-12-18,photos/bruk-bet-termalica-nieciecza/miłosz_kozik.png
Bruk Bet Termalica Nieciecza,Sergio,Guerrero,23,midfielder,ESP,1999-01-13,photos/bruk-bet-termalica-nieciecza/sergio_guerrero.png
Bruk Bet Termalica Nieciecza,Maciej,Janicki,24,goalkeeper,POL,2008-01-14,photos/bruk-bet-termalica-nieciecza/maciej_janicki.png
Gornik Zabrze,Tomasz,Loska,99,goalkeeper,POL,1996-01-26,photos/gornik-zabrze/tomasz_loska.png
Gornik Zabrze,Young-jun,Goh,79,midfielder,KOR,2001-07-09,photos/gornik-zabrze/young-jun_goh.png
Gornik Zabrze,Antoni,Bałabuch,25,goalkeeper,POL,2007-05-29,photos/gornik-zabrze/antoni_bałabuch.png
Gornik Zabrze,Rafał,Janicki,26,defender,POL,1992-07-05,photos/gornik-zabrze/rafał_janicki.png
Gornik Zabrze,Paweł,Olkowski,16,defender,POL,1990-02-13,photos/gornik-zabrze/paweł_olkowski.png
Gornik Zabrze,Dominik,Szala,27,defender,POL,2006-04-24,photos/gornik-zabrze/dominik_szala.png
Gornik Zabrze,Kryspin,Szcześniak,5,defender,POL,2001-01-08,photos/gornik-zabrze/kryspin_szcześniak.png
Gornik Zabrze,Maksymilian,Pingot,55,defender,POL,2003-04-01,photos/gornik-zabrze/maksymilian_pingot.png
Gornik Zabrze,Natan,Dzięgielewski,19,midfielder,POL,2004-10-19,photos/gornik-zabrze/natan_dzięgielewski.png
Gornik Zabrze,Kamil,Lukoszek,17,midfielder,POL,2002-04-04,photos/gornik-zabrze/kamil_lukoszek.png
Gornik Zabrze,Luka,Zahović,7,striker,SVN,1995-11-15,photos/gornik-zabrze/luka_zahović.png
Gornik Zabrze,Piotr,Pietryga,92,goalkeeper,POL,2002-10-25,photos/gornik-zabrze/piotr_pietryga.png
Gornik Zabrze,Matus,Kmet,81,defender,SVK,2000-06-27,photos/gornik-zabrze/matus_kmet.png
Gornik Zabrze,Erik,Janza,64,defender,SVN,1993-06-21,photos/gornik-zabrze/erik_janza.png
Gornik Zabrze,Jarosław,Kubicki,14,midfielder,POL,1995-08-07,photos/gornik-zabrze/jarosław_kubicki.png
Gornik Zabrze,Lukas,Podolski,10,midfielder,DEU,1985-06-04,photos/gornik-zabrze/lukas_podolski.png
Gornik Zabrze,Patrik,Hellebrand,8,midfielder,CZE,1999-05-16,photos/gornik-zabrze/patrik_hellebrand.png
Gornik Zabrze,Sondre,Liseth,23,midfielder,NOR,1997-09-30,photos/gornik-zabrze/sondre_liseth.png
Gornik Zabrze,Abbati,Abdullahi,22,midfielder,NGA,2006-01-03,photos/gornik-zabrze/abbati_abdullahi.png
Gornik Zabrze,Ousmane,Sow,30,striker,SEN,2000-07-05,photos/gornik-zabrze/ousmane_sow.png
Gornik Zabrze,Bastien,Donio,28,midfielder,FRA,2005-09-22,photos/gornik-zabrze/bastien_donio.png
Gornik Zabrze,Gabriel,Barbosa,9,striker,BRA,1999-03-17,photos/gornik-zabrze/gabriel_barbosa.png
Gornik Zabrze,Marcel,Łubik,1,goalkeeper,POL,2004-05-19,photos/gornik-zabrze/marcel_łubik.png
Gornik Zabrze,José Manuel,Sánchez Guillén,20,defender,ESP,1996-06-06,photos/gornik-zabrze/josé_manuel_sánchez_guillén.png
Gornik Zabrze,Lukas,Ambros,18,midfielder,CZE,2004-06-05,photos/gornik-zabrze/lukas_ambros.png
Gornik Zabrze,Thodoris,Tsirigotis,74,striker,GRC,2000-06-23,photos/gornik-zabrze/thodoris_tsirigotis.png
Gornik Zabrze,Michal,Sacek,61,defender,CZE,1996-09-19,photos/gornik-zabrze/michal_sacek.png
Gornik Zabrze,Roberto,Massimo,15,midfielder,,,photos/gornik-zabrze/roberto_massimo.png
Gornik Zabrze,Maksym,Chłań,33,midfielder,UKR,2003-01-27,photos/gornik-zabrze/maksym_chłań.png
Lech Poznan,Daniel,Hakans,11,midfielder,FIN,2000-10-26,photos/lech-poznan/daniel_hakans.png
Lech Poznan,Joao,Moutinho,4,defender,PRT,1998-01-12,photos/lech-poznan/joao_moutinho.png
Lech Poznan,Robert,Gumny,20,defender,POL,1998-06-04,photos/lech-poznan/robert_gumny.png
Lech Poznan,Bartosz,Mrozek,41,goalkeeper,POL,2000-02-23,photos/lech-poznan/bartosz_mrozek.png
Lech Poznan,Joel,Pereira,2,defender,PRT,1996-09-28,photos/lech-poznan/joel_pereira.png
Lech Poznan,Alex,Douglas,3,defender,SWE,2001-08-17,photos/lech-poznan/alex_douglas.png
Lech Poznan,Afonso,Sousa,7,midfielder,PRT,2000-05-03,photos/lech-poznan/afonso_sousa.png
Lech Poznan,Patrik,Walemark,10,midfielder,SWE,2001-10-14,photos/lech-poznan/patrik_walemark.png
Lech Poznan,Gisli,Thordarson,23,midfielder,ISL,2004-09-12,photos/lech-poznan/gisli_thordarson.png
Lech Poznan,Kornel,Lisman,56,midfielder,POL,2006-02-20,photos/lech-poznan/kornel_lisman.png
Lech Poznan,Antoni,Kozubal,43,midfielder,POL,2004-08-18,photos/lech-poznan/antoni_kozubal.png
Lech Poznan,Mikael,Ishak,9,striker,SWE,1993-03-31,photos/lech-poznan/mikael_ishak.png
Lech Poznan,Bryan,Fiabema,19,striker,NOR,2003-02-16,photos/lech-poznan/bryan_fiabema.png
Lech Poznan,Filip,Szymczak,17,striker,POL,2002-05-06,photos/lech-poznan/filip_szymczak.png
Lech Poznan,Radosław,Murawski,22,midfielder,POL,1994-04-22,photos/lech-poznan/radosław_murawski.png
Lech Poznan,Krzysztof,Bąkowski,31,goalkeeper,POL,2003-01-04,photos/lech-poznan/krzysztof_bąkowski.png
Lech Poznan,Mateusz,Skrzypczak,72,defender,POL,2000-08-22,photos/lech-poznan/mateusz_skrzypczak.png
Lech Poznan,Antonio,Milić,16,defender,HRV,1994-10-03,photos/lech-poznan/antonio_milić.png
Lech Poznan,Michał,Gurgul,15,defender,POL,2006-01-30,photos/lech-poznan/michał_gurgul.png
Lech Poznan,Wojciech,Mońka,27,defender,POL,2007-01-18,photos/lech-poznan/wojciech_mońka.png
Lech Poznan,Tymoteusz,Gmur,44,midfielder,POL,2008-01-02,photos/lech-poznan/tymoteusz_gmur.png
Lech Poznan,Bartłomiej,Barański,21,midfielder,POL,2006-10-09,photos/lech-poznan/bartłomiej_barański.png
Lech Poznan,Mateusz,Pruchniewski,33,goalkeeper,POL,2007-02-15,photos/lech-poznan/mateusz_pruchniewski.png
Lech Poznan,Ali,Gholizadeh,8,midfielder,IRN,1996-03-10,photos/lech-poznan/ali_gholizadeh.png
Lech Poznan,Filip,Jagiełło,24,midfielder,POL,1997-08-08,photos/lech-poznan/filip_jagiełło.png
Lech Poznan,Sammy,Dudek,53,midfielder,POL,2008-04-18,photos/lech-poznan/sammy_dudek.png
Lech Poznan,Leo,Bengtsson,14,midfielder,SWE,1998-05-26,photos/lech-poznan/leo_bengtsson.png
Lech Poznan,Timothy,Ouma,6,midfielder,KEN,2004-06-10,photos/lech-poznan/timothy_ouma.png
Lech Poznan,Luis,Palma,77,midfielder,HND,2000-01-17,photos/lech-poznan/luis_palma.png
Lech Poznan,Pablo,Rodriguez,99,midfielder,ESP,2001-08-04,photos/lech-poznan/pablo_rodriguez.png
Lech Poznan,Kamil,Jakóbczyk,54,striker,POL,2007-10-23,photos/lech-poznan/kamil_jakóbczyk.png
Lech Poznan,Taofeek,Ismaheel,88,midfielder,NGA,2000-07-16,photos/lech-poznan/taofeek_ismaheel.png
Lech Poznan,Yannick,Agnero,7,striker,CIV,2003-02-22,photos/lech-poznan/yannick_agnero.png
Lech Poznan,Hubert,Janyszka,90,midfielder,,,Brak
Pogon Szczecin,Kuba,Bochniarz,91,goalkeeper,POL,2009-03-05,photos/pogon-szczecin/kuba_bochniarz.png
Pogon Szczecin,Linus,Wahlqvist,28,defender,SWE,1996-11-11,photos/pogon-szczecin/linus_wahlqvist.png
Pogon Szczecin,Leo,Borges,4,defender,BRA,2001-01-03,photos/pogon-szczecin/leo_borges.png
Pogon Szczecin,Danijel,Loncar,22,defender,HRV,1997-06-26,photos/pogon-szczecin/danijel_loncar.png
Pogon Szczecin,Jakub,Lis,17,defender,POL,2002-01-14,photos/pogon-szczecin/jakub_lis.png
Pogon Szczecin,Dimitris,Keramitsis,13,defender,GRC,2004-07-01,photos/pogon-szczecin/dimitris_keramitsis.png
Pogon Szczecin,Jakub,Zawadzki,36,defender,POL,2008-09-22,photos/pogon-szczecin/jakub_zawadzki.png
Pogon Szczecin,Kacper,Smoliński,61,midfielder,POL,2001-02-07,photos/pogon-szczecin/kacper_smoliński.png
Pogon Szczecin,Kamil,Grosicki,11,midfielder,POL,1988-06-08,photos/pogon-szczecin/kamil_grosicki.png
Pogon Szczecin,Fredrik,Ulvestad,8,midfielder,NOR,1992-06-17,photos/pogon-szczecin/fredrik_ulvestad.png
Pogon Szczecin,Adrian,Przyborek,10,midfielder,POL,2007-01-01,photos/pogon-szczecin/adrian_przyborek.png
Pogon Szczecin,Maciej,Wojciechowski,35,midfielder,POL,2007-05-17,photos/pogon-szczecin/maciej_wojciechowski.png
Pogon Szczecin,Efthymis,Koulouris,9,striker,GRC,1996-03-06,photos/pogon-szczecin/efthymis_koulouris.png
Pogon Szczecin,Patryk,Paryzek,20,striker,POL,2006-02-03,photos/pogon-szczecin/patryk_paryzek.png
Pogon Szczecin,Kacper,Kostorz,99,striker,POL,1999-08-21,photos/pogon-szczecin/kacper_kostorz.png
Pogon Szczecin,Krzysztof,Kamiński,31,goalkeeper,POL,1990-11-26,photos/pogon-szczecin/krzysztof_kamiński.png
Pogon Szczecin,Marian,Huja,2,defender,PRT,1999-08-05,photos/pogon-szczecin/marian_huja.png
Pogon Szczecin,Jan,Biegański,6,midfielder,POL,2002-12-04,photos/pogon-szczecin/jan_biegański.png
Pogon Szczecin,Natan,Ława,47,midfielder,POL,2009-06-26,photos/pogon-szczecin/natan_ława.png
Pogon Szczecin,Valentin,Cojocaru,77,goalkeeper,ROU,1995-10-01,photos/pogon-szczecin/valentin_cojocaru.png
Pogon Szczecin,Leonardo,Koutris,32,defender,GRC,1995-07-23,photos/pogon-szczecin/leonardo_koutris.png
Pogon Szczecin,Paul,Mukairu,18,midfielder,NGA,2000-01-18,photos/pogon-szczecin/paul_mukairu.png
Pogon Szczecin,Mor,N'diaye,19,midfielder,SEN,2000-11-22,photos/pogon-szczecin/mor_n'diaye.png
Pogon Szczecin,Musa,Juwara,7,midfielder,GMB,2001-12-26,photos/pogon-szczecin/musa_juwara.png
Pogon Szczecin,Jose,Pozo,14,midfielder,ESP,1996-03-15,photos/pogon-szczecin/jose_pozo.png
Pogon Szczecin,Alex,Pesković,33,goalkeeper,POL,2009-09-04,Brak
Pogon Szczecin,Kacper,Stanowski,37,striker,POL,2008-06-27,photos/pogon-szczecin/kacper_stanowski.png
Pogon Szczecin,Rafał,Jakubowski,38,defender,POL,2007-01-27,photos/pogon-szczecin/rafał_jakubowski.png
Pogon Szczecin,Sam,Greenwood,90,striker,GBR,2002-01-26,photos/pogon-szczecin/sam_greenwood.png
Pogon Szczecin,Rajmund,Molnar,9,striker,HUN,2002-08-28,photos/pogon-szczecin/rajmund_molnar.png
Pogon Szczecin,Hussein,Ali,15,defender,IRQ,2002-03-01,photos/pogon-szczecin/hussein_ali.png
Pogon Szczecin,Benjamin,Mendy,23,defender,FRA,1994-07-17,photos/pogon-szczecin/benjamin_mendy.png
